gene,cell_type,tier,PP.H4,b,se,pval,fdr,or,or_lci,or_uci,n_drugs,approved_drugs,drug_mechanisms,indications,direction
CFD,NK,Tier 1 (Strong),0.924,0.277818611646455,0.0728456663090225,0.0001368476762398,0.00424480824707939,1.32024669811374,1.14458383228197,1.52286909417992,2,Danicopan (Approved); Lampalizumab (Phase 3),Complement factor D inhibitor,Paroxysmal nocturnal hemoglobinuria; Geographic atrophy; Age-related macular degeneration,Risk (↑ expression → ↑ MG risk)
KISS1R,CD4 ET,Tier 1 (Strong),0.953,0.498398426789068,0.131734738419404,0.000154732514224278,0.00474055501240349,1.64608283626761,1.27150131423198,2.13101526009155,0,,,,Risk (↑ expression → ↑ MG risk)
MED16,CD8 ET,Tier 1 (Strong),0.863,0.204942380384057,0.054370939184797,0.00016368191166591,0.00493513954300632,1.22745433747804,1.10337684840138,1.36548465084847,0,,,,Risk (↑ expression → ↑ MG risk)
MED16,B Mem,Tier 1 (Strong),0.94,0.413012322174459,0.109571616224217,0.000163681911665911,0.00493513954300632,1.51136364910581,1.21926955542345,1.87343321226874,0,,,,Risk (↑ expression → ↑ MG risk)
R3HDM4,CD8 ET,Tier 1 (Strong),0.969,0.261431692768863,0.0693574781452093,0.000163681911665911,0.00493513954300632,1.29878822191458,1.13370500593464,1.48790985005255,0,,,,Risk (↑ expression → ↑ MG risk)
SPATA21,CD4 NC,Tier 1 (Strong),0.883,-0.397828871911829,0.106669534018099,0.000191825528357261,0.00564918745914137,0.671776977736013,0.545037238795886,0.827988026677083,0,,,,Protective (↑ expression → ↓ MG risk)
BCAS4,CD8 ET,Tier 1 (Strong),0.879,0.407801064823699,0.10944419811094,0.000194457964698117,0.00570460083311309,1.50350803078215,1.21323511014476,1.86323028382907,0,,,,Risk (↑ expression → ↑ MG risk)
BCAS4,CD4 ET,Tier 1 (Strong),0.891,0.48840717260905,0.131730630516858,0.000209215956531975,0.00606726273942726,1.62971829154458,1.25887081023158,2.10981276887847,0,,,,Risk (↑ expression → ↑ MG risk)
ALDH7A1,CD4 NC,Tier 1 (Strong),0.926,-1.17294437808044,0.317642821777273,0.000221927678363416,0.00641143155971573,0.309454447669029,0.166040373097845,0.576739580835034,0,,,,Protective (↑ expression → ↓ MG risk)
R3HDM4,NK,Tier 1 (Strong),0.803,0.247991227186456,0.0687438347603982,0.000309198911004121,0.0088319297962756,1.28144869023428,1.1199155840204,1.46628082431725,0,,,,Risk (↑ expression → ↑ MG risk)
TYMP,Mono C,Tier 1 (Strong),0.852,-0.26377779107981,0.0732910459749686,0.000319387613889776,0.00905487720274076,0.768144209189132,0.665359195068556,0.886807502600157,2,Tipiracil hydrochloride (Approved); Tipiracil (Approved),Thymidine phosphorylase inhibitor,Colorectal cancer; Gastric cancer; Pancreatic cancer,Protective (↑ expression → ↓ MG risk)
TYMP,Mono NC,Tier 1 (Strong),0.807,-0.334236946540102,0.0928682256194643,0.000319387613889777,0.00905487720274076,0.715884135860336,0.596749012384906,0.858803425460791,2,Tipiracil hydrochloride (Approved); Tipiracil (Approved),Thymidine phosphorylase inhibitor,Colorectal cancer; Gastric cancer; Pancreatic cancer,Protective (↑ expression → ↓ MG risk)
TNFRSF14,CD4 ET,Tier 1 (Strong),0.895,-0.41324660758256,0.122949924812901,0.0007763359236352,0.0200632664890485,0.661499132009751,0.51984298744875,0.841756284521957,0,,,,Protective (↑ expression → ↓ MG risk)
HLA-G,Mono NC,Tier 2 (Moderate),0.704,1.80336202184947,0.170516196231526,3.85463929289182e-26,2.44062911228267e-23,6.07002073987829,4.34554106664784,8.47884100448166,0,,,,Risk (↑ expression → ↑ MG risk)
RP11-457M11.5,B IN,Tier 2 (Moderate),0.692,-2.02424263471336,0.219688237357395,3.13724113045331e-20,4.9659912727468e-18,0.132093848608248,0.0858776577440595,0.203181890360135,0,,,,Protective (↑ expression → ↓ MG risk)
HIST1H3H,CD8 NC,Tier 2 (Moderate),0.739,-1.63334083869664,0.179063825795662,7.4052878993866e-20,1.12530754919079e-17,0.195276097212132,0.137475997980306,0.277377540098778,0,,,,Protective (↑ expression → ↓ MG risk)
U91328.19,CD4 ET,Tier 2 (Moderate),0.63,-1.21409403072622,0.147326082306301,1.7097320090974e-16,1.58421265916123e-14,0.296978946253872,0.222494443205154,0.396398639208878,0,,,,Protective (↑ expression → ↓ MG risk)
HIST1H2BN,DC,Tier 2 (Moderate),0.62,1.05545545088049,0.130944734459042,7.6099792645891e-16,6.21727123143527e-14,2.87328349543398,2.22288026435014,3.71399133706685,0,,,,Risk (↑ expression → ↑ MG risk)
HIST1H2BG,CD4 ET,Tier 2 (Moderate),0.677,-1.50580357130837,0.226508955252836,2.97351537301863e-11,1.625379122604e-09,0.221838958766731,0.142308061563528,0.345816836277671,0,,,,Protective (↑ expression → ↓ MG risk)
ORMDL3,CD4 ET,Tier 2 (Moderate),0.787,-0.429730576628154,0.0748912141198291,9.57649526076327e-09,4.63453573192862e-07,0.650684380689041,0.561851692477466,0.753562139157677,0,,,,Protective (↑ expression → ↓ MG risk)
RNASET2,CD4 SOX4,Tier 2 (Moderate),0.691,-0.40480210212514,0.0902249335772714,7.23728407835616e-06,0.000287899918467802,0.667108817213382,0.558979224530833,0.796155124329293,0,,,,Protective (↑ expression → ↓ MG risk)
