cell_type,gene,nsnps,PP.H0,PP.H1,PP.H2,PP.H3,PP.H4,tier
Mono C,XXbac-BPG181B23.7,8524,1.06e-32,2.87e-26,3.68e-07,1,3.65e-07,Not colocalized
Mono C,KANSL1-AS1,3347,1.24e-33,0.177,4.04e-33,0.578,0.245,Not colocalized
Mono C,HIST1H3D,4089,1.54e-20,2.83e-16,1.23e-06,0.0217,0.978,Tier 1 (Strong)
Mono C,HIST1H4A,4315,3.38e-32,1.46e-16,2.51e-18,0.00982,0.99,Tier 1 (Strong)
Mono C,ZKSCAN4,3661,3.01e-34,1.6e-20,1.89e-14,1,4.17e-05,Not colocalized
Mono C,HLA-A,7289,2.23e-37,9.75e-28,2.29e-10,1,2.28e-11,Not colocalized
Mono C,ABHD16A,9496,1.6e-85,2.87e-26,5.58e-60,1,1.18e-24,Not colocalized
Mono C,FKBPL,10546,1.93e-41,6.19e-24,3.11e-18,1,7.18e-07,Not colocalized
Mono C,ITPR3,6870,7.14e-24,1.06e-10,6.71e-14,1,2.19e-05,Not colocalized
Mono C,HCG27,8151,1.19e-102,2.87e-26,4.14e-77,1,6.89e-26,Not colocalized
Mono NC,TCF19,8178,2.53e-58,2.87e-26,8.82e-33,1,7.96e-26,Not colocalized
Mono NC,HIST1H3D,4089,2.58e-18,1.25e-14,0.000206,1,6.49e-05,Not colocalized
Mono NC,CTSH,4185,3.91e-13,0.196,3.63e-13,0.182,0.622,Tier 2 (Moderate)
Mono NC,LY6G5C,9167,3.95e-42,2.87e-26,1.38e-16,1,4.58e-05,Not colocalized
Mono NC,HIST1H4J,3274,6.45e-23,2.64e-20,0.00138,0.562,0.436,Not colocalized
Mono NC,RP11-367G6.3,4785,8.03e-18,2.54e-08,7.36e-12,0.0223,0.978,Tier 1 (Strong)
Mono NC,HLA-C,8205,2.89e-40,2.87e-26,1.01e-14,1,7.19e-14,Not colocalized
Mono NC,LST1,8464,1.02e-33,2.87e-26,3.54e-08,1,1.42e-09,Not colocalized
Mono NC,HLA-B,8444,1.02e-101,2.87e-26,3.56e-76,1,4.7e-24,Not colocalized
Mono NC,FKBPL,10546,1.84e-32,6.19e-24,2.98e-09,1,2.3e-06,Not colocalized
Mono NC,HLA-G,7192,1.06e-37,2.9e-28,1.09e-10,0.296,0.704,Tier 2 (Moderate)
Mono NC,TYMP,2673,2.25e-07,0.174,2.58e-08,0.0192,0.807,Tier 1 (Strong)
Mono NC,ABHD16A,9496,6.01e-40,2.87e-26,2.09e-14,1,2.82e-10,Not colocalized
Mono NC,XXbac-BPG299F13.17,8143,8.46e-29,2.85e-26,0.00295,0.993,0.00361,Not colocalized
Mono NC,AGER,10548,1.19e-40,2.28e-25,1.9e-17,0.0357,0.964,Tier 1 (Strong)
