id.exposure,gene,cell_type,method,nsnp,b,se,pval,fdr,or,or_lci,or_uci
Mono C|ZSCAN12,ZSCAN12,Mono C,Wald ratio,1,1.61205545215882,0.145198042904811,1.22037973465115e-28,4.06380450656574e-25,5.01310484236401,3.77147921062092,6.66349163207928
Mono C|OSCAR,OSCAR,Mono C,Wald ratio,1,0.0682221289390035,0.0995017496337953,0.492941740199827,0.885686502441937,1.07060309399764,0.880908691463122,1.30114618686936
Mono C|SH3BGRL3,SH3BGRL3,Mono C,Wald ratio,1,0.005329245222833,0.0648150582249896,0.934469915362786,0.991244431879768,1.00534347090965,0.885406631481314,1.14152690816163
Mono C|RPS10,RPS10,Mono C,Wald ratio,1,-0.0805718430519612,0.0950309287763563,0.396522274658384,0.852525340419777,0.922588619620626,0.765801360433669,1.11147590619515
Mono C|FHL3,FHL3,Mono C,Wald ratio,1,-0.0679631902065033,0.15494869714448,0.660938807930094,0.92929634054634,0.934294864145269,0.689586844642123,1.26584040857282
Mono C|PPT1,PPT1,Mono C,Wald ratio,1,0.190447315290645,0.133903360516942,0.154946621571372,0.669654175493097,1.20979063449049,0.930527851749472,1.57286359193787
Mono C|AOAH,AOAH,Mono C,Wald ratio,1,0.120853333539356,0.129369433057363,0.350215050927022,0.832603332453626,1.12845939308441,0.87571835241312,1.45414401597433
Mono C|ZP3,ZP3,Mono C,Wald ratio,1,-0.08918993553755,0.106464322588421,0.402174031286997,0.852525340419777,0.914671828389375,0.742405263411411,1.12691085971671
Mono C|MAK,MAK,Mono C,Wald ratio,1,0.0154811892762926,0.0728049722896588,0.831608412562163,0.973792835484761,1.01560164367671,0.880542964723838,1.17137577603874
Mono C|PSAP,PSAP,Mono C,Wald ratio,1,0.194978534577757,0.117273955697235,0.09639448538874,0.590441718841641,1.21528489960623,0.965722823063813,1.5293388039907
Mono C|LYZ,LYZ,Mono C,Wald ratio,1,0.0673099500101711,0.0377707080775314,0.0747382305657867,0.549188661352851,1.06962695768732,0.993301895157652,1.15181681842039
Mono C|ABCC3,ABCC3,Mono C,Wald ratio,1,0.0115900783015606,0.102460696753801,0.909937552420297,0.983985449660721,1.01165750349505,0.827593748146888,1.23665857393136
Mono C|TTC39C,TTC39C,Mono C,Wald ratio,1,-0.162070744093064,0.125633105948884,0.197039500364,0.723022755366562,0.850381042976577,0.664771682574911,1.0878139626118
Mono C|HMGN1,HMGN1,Mono C,Wald ratio,1,0.195489543938517,0.141888798930149,0.16827558794649,0.680498531246249,1.21590608026697,0.920707850588037,1.60575104805064
Mono C|COMMD6,COMMD6,Mono C,Wald ratio,1,0.00104247263881219,0.18762630985317,0.995566887475878,0.998654444194699,1.00104301620228,0.69301398842853,1.44598397293492
Mono C|GSTP1,GSTP1,Mono C,Wald ratio,1,0.104435679182491,0.0942284316226428,0.267721699084972,0.785053284210781,1.11008399006012,0.922883707186664,1.33525649590708
Mono C|VNN1,VNN1,Mono C,Wald ratio,1,-0.161824340460772,0.10871405868011,0.136610685270783,0.653907513785694,0.850590605771854,0.687355333575512,1.05259149567339
Mono C|CSGALNACT1,CSGALNACT1,Mono C,Wald ratio,1,-0.159056302741309,0.130538643637574,0.223048672236395,0.753880699133511,0.852948334287768,0.660398363970132,1.10163940532897
Mono C|SELL,SELL,Mono C,Wald ratio,1,0.0113060521239418,0.0650426253061285,0.862002781484368,0.977193169905854,1.01137020708306,0.890317183780642,1.14888234711108
Mono C|XXbac-BPG181B23.7,XXbac-BPG181B23.7,Mono C,Wald ratio,1,0.559824131851932,0.109487103450974,3.16828229486033e-07,1.43289338549695e-05,1.75036463983782,1.41231388014575,2.16933106405384
Mono C|MX1,MX1,Mono C,Wald ratio,1,0.00109346501657348,0.190281938540949,0.995414940275634,0.998654444194699,1.00109406306741,0.689451355577721,1.45360410854372
Mono C|AFAP1,AFAP1,Mono C,Wald ratio,1,-0.0148189445302924,0.0463921188818242,0.749401935702005,0.955830908637674,0.985290315655495,0.89965178368829,1.07908084408452
Mono C|KANSL1-AS1,KANSL1-AS1,Mono C,Wald ratio,1,0.218039571569099,0.0657399909331253,0.000910886378820782,0.0229169361135109,1.24363627928432,1.09328747509779,1.41466103872983
Mono C|MIF,MIF,Mono C,Wald ratio,1,0.140315689974984,0.0931200665038255,0.131855393682783,0.646302957256591,1.15063698608828,0.958678370559517,1.38103196485137
