gene,cell_type,nsnps,PP.H0,PP.H1,PP.H2,PP.H3,PP.H4,tier,b,se,pval,fdr,or,or_lci,or_uci
HLA-C,Plasma,8205,8.3e-29,2.86e-26,0.00289,0.997,0.00025,Not colocalized,-0.880931416827303,0.107726219647504,2.89787726920511e-16,2.5020535785705e-14,0.414396755761941,0.335519632435396,0.51181705803486
HLA-DMA,CD4 NC,8246,5.04e-20,6.01e-16,8.39e-05,1,3.88e-06,Not colocalized,1.1534368501367,0.248791228590146,3.54934999827256e-06,0.000146565006993885,3.16906581900058,1.94605849440137,5.16067641031888
HLA-DOA,CD8 S100B,8258,5.05e-30,6.83e-17,8.36e-16,0.0103,0.99,Tier 1 (Strong),-1.47727586919019,0.158216082210737,9.9029493921743e-21,1.88106523704351e-18,0.228258648628674,0.167398280911858,0.311245792907649
HLA-DOA,NK,8258,1.74e-19,6.03e-15,2.89e-05,1,4.47e-05,Not colocalized,-0.4005980985103,0.128478463757244,0.00182071991603081,0.0392333821294505,0.669919248484838,0.520786095145022,0.861758414201739
HLA-DQA1,B IN,7618,3.21e-41,4.28e-18,7.5e-24,1,7.7e-16,Not colocalized,-0.337939217875305,0.076843029411454,1.0936060284728e-05,0.000397570268150063,0.713238638740668,0.613514392455145,0.829172651935519
HLA-DQA1,DC,7618,7.03e-34,4.28e-18,1.64e-16,1,2.02e-13,Not colocalized,-0.345692964226673,0.109968483795816,0.00166903927117264,0.036440690753936,0.707729752102475,0.570506228304319,0.877959568469165
HLA-DQB1,CD8 S100B,7631,1.29e-22,5.04e-18,2.56e-05,1,9.13e-07,Not colocalized,-0.441089760494908,0.13572478580798,0.00115452238745034,0.0274986241374536,0.643334957917007,0.493066936324301,0.839398948879954
HLA-DRB1,B Mem,7533,4.41e-70,1.08e-20,4.09e-50,1,3.45e-20,Not colocalized,-0.210896696043129,0.0636077883385319,0.000914532371120123,0.022932729226966,0.809857724067541,0.714931917439186,0.917387400441034
HLA-DRB1,DC,7533,3.27e-35,1.08e-20,3.03e-15,1,2.53e-12,Not colocalized,-0.440836269140174,0.107645208499458,4.21675382410775e-05,0.00145585342348467,0.64349805843845,0.521096060117374,0.794651471977705
HLA-DRB1,NK,7533,4.16e-25,1.08e-20,3.85e-05,1,1.84e-06,Not colocalized,0.651836207737056,0.16236719415589,5.95515603146936e-05,0.00198452962838176,1.91906139115732,1.39597976212715,2.63814470878786
HLA-DRB5,CD4 SOX4,7503,7.56e-24,1.08e-20,0.000702,0.999,0.000584,Not colocalized,0.788667904380984,0.12474838364483,2.58083876785267e-10,1.34309677795511e-08,2.20046324560185,1.72316216758883,2.80997261100502
HLA-G,Mono NC,7192,1.06e-37,2.9e-28,1.09e-10,0.296,0.704,Tier 2 (Moderate),1.80336202184947,0.170516196231526,3.85463929289182e-26,2.44062911228267e-23,6.07002073987829,4.34554106664784,8.47884100448166
HMGN4,NK R,3768,3.92e-36,3.63e-17,1.63e-20,0.15,0.85,Tier 1 (Strong),-1.32813365070002,0.14275192641771,1.3552925870952e-20,2.45178882779746e-18,0.264971329159498,0.200302325462774,0.350519172028283
HSD17B8,Mono C,8292,2.25e-22,2.52e-15,4.6e-09,0.0506,0.949,Tier 1 (Strong),1.72874817043599,0.196537723103448,1.41764440874246e-18,1.58400914965077e-16,5.63359718893199,3.83256477512227,8.28098653234892
HSPA1B,Mono NC,10327,1.58e-57,2.97e-26,5.34e-32,1,8.34e-17,Not colocalized,-0.412150171610203,0.0742022999171549,2.78547225411088e-08,1.3227511366709e-06,0.662224821216944,0.572589239155047,0.76589234279526
HSPA1B,NK R,10327,3.99e-54,2.96e-26,1.35e-28,0.998,0.00203,Not colocalized,1.24388761221794,0.11495961060505,2.76131238535509e-27,2.622556437991e-24,3.46907369701783,2.76922299999159,4.34579386180799
IER3,B Mem,10661,3.9e-31,1e-27,0.000388,0.998,0.00163,Not colocalized,0.872198750254736,0.121095535458765,5.90892373153698e-13,4.08145477383799e-11,2.39216484836604,1.88674194090178,3.03298110764582
IER3,CD4 SOX4,10661,2.1e-50,1.01e-27,2.09e-23,1,3.86e-24,Not colocalized,-0.352553017851832,0.0705101449564197,5.7320645201668e-07,2.56189566024867e-05,0.702891303035866,0.612165320161107,0.80706333340385
IL12RB2,NK,4143,5.74e-07,0.0389,2.01e-07,0.0127,0.948,Tier 1 (Strong),0.499436773077474,0.124403204959063,5.95311381956875e-05,0.00198452962838176,1.64779292795108,1.29124451207778,2.10279424850097
ITPR3,Mono C,6870,7.14e-24,1.06e-10,6.71e-14,1,2.19e-05,Not colocalized,-0.368841634300539,0.0983386239859107,0.000176320433537777,0.00523313536726575,0.691534917189886,0.570304222235512,0.838535860418964
KANSL1-AS1,B Mem,3347,4.25e-86,0.115,1.39e-85,0.376,0.509,Tier 2 (Moderate),0.161329050864851,0.0466024399120339,0.000536544747172131,0.0144051837067627,1.17507156351996,1.07249559934551,1.28745813058429
KANSL1-AS1,CD4 ET,3347,5.46e-206,0.13,1.78e-205,0.425,0.445,Not colocalized,0.121313549295227,0.036006837092318,0.000753919192043068,0.0196848041963685,1.12897884739833,1.05204948122491,1.21153354535078
