id.exposure,gene,cell_type,method,nsnp,b,se,pval,fdr,or,or_lci,or_uci
CD8 NC|HLA-C,HLA-C,CD8 NC,Wald ratio,1,-0.312097926355005,0.0818565689155109,0.000137433907446898,0.00424480824707939,0.731909851454902,0.623418770993431,0.859281201628082
CD8 NC|SESN3,SESN3,CD8 NC,Wald ratio,1,-0.805808225113737,0.120806096939875,2.55348491576576e-11,1.40589698478175e-09,0.446726724854869,0.352541062160355,0.566075240928347
CD8 NC|BTN3A1,BTN3A1,CD8 NC,Wald ratio,1,-0.456742313370619,0.135644895916817,0.000759379916247776,0.0196920430158724,0.633343523194534,0.485485280777413,0.826233120250608
CD8 NC|HIST1H2BB,HIST1H2BB,CD8 NC,Wald ratio,1,-1.49601458075466,0.166132040417775,2.15718385903761e-19,2.77801406118098e-17,0.224021201790747,0.161761317336177,0.310244128066005
CD8 NC|PRSS16,PRSS16,CD8 NC,Wald ratio,1,-1.96944659474024,0.218706545702907,2.15718385903761e-19,2.77801406118098e-17,0.139534053731576,0.090889442894499,0.214213571243538
CD8 NC|BTN3A2,BTN3A2,CD8 NC,Wald ratio,1,-0.542661253410858,0.0807708691060927,1.83570911725963e-11,1.03316428688435e-09,0.581199473360477,0.49610277956497,0.680892834607184
CD8 NC|HIST1H2BO,HIST1H2BO,CD8 NC,Wald ratio,1,-0.320347971322084,0.0590303221532481,5.73612774873486e-08,2.7070247599309e-06,0.725896401990662,0.646587075208383,0.81493368275753
CD8 NC|CRHR1,CRHR1,CD8 NC,Wald ratio,1,-0.420535652446778,0.118627323341191,0.000392590595926076,0.0110070234237872,0.656694965322648,0.520458457810671,0.828593081749842
CD8 NC|HIST1H2BI,HIST1H2BI,CD8 NC,Wald ratio,1,-1.95588476882869,0.21931369141289,4.73900533704619e-19,5.53953270013491e-17,0.141439280251027,0.0920208953825922,0.217397036996371
CD8 NC|XXbac-BPG252P9.9,XXbac-BPG252P9.9,CD8 NC,Wald ratio,1,-1.42215037926809,0.128675935069833,2.13940747910805e-28,4.06380450656574e-25,0.241194798544563,0.187428992492664,0.310383842282189
CD8 NC|ZSCAN9,ZSCAN9,CD8 NC,Wald ratio,1,0.446838356030318,0.0923285065428247,1.30063032497365e-06,5.58315774528235e-05,1.56336157089059,1.30457130280311,1.87348855220554
CD8 NC|HIST1H3H,HIST1H3H,CD8 NC,Wald ratio,1,-1.63334083869664,0.179063825795662,7.4052878993866e-20,1.12530754919079e-17,0.195276097212132,0.137475997980306,0.277377540098778
CD8 NC|ZSCAN31,ZSCAN31,CD8 NC,Wald ratio,1,-1.42808677097927,0.160624117248865,6.06369520091764e-19,6.98059941463216e-17,0.239767213286777,0.175010371554855,0.328485198086035
CD8 NC|DDR1,DDR1,CD8 NC,Wald ratio,1,0.530564360835273,0.0749202421782707,1.42373596411756e-12,9.32547056496999e-11,1.69989139008387,1.46773542561385,1.96876813603701
