gene,logFC,logCPM,F,PValue,FDR,cell_type,scenario,omitted_donor,omitted_group,passes_primary_threshold
WDR55,-0.153938238644514,5.02488413368947,0.200399083850274,0.660670758112322,0.823221375658598,CD8_NC,Full,,Full,FALSE
HARS,-0.138859894852161,5.33672693934622,0.20193947140102,0.659467197794122,0.822545517395027,CD8_NC,Full,,Full,FALSE
ZMAT2,0.693951296292939,6.68503008129518,3.42945092590359,0.0833829756399556,0.283659914189875,CD8_NC,Full,,Full,FALSE
TAF7,-0.108138816667295,7.24912497037675,0.214050303115801,0.650103854316333,0.817182455073048,CD8_NC,Full,,Full,FALSE
DIAPH1,-0.990654203714617,7.00131557847427,18.8410273741361,0.000554896097212525,0.0256170378116027,CD8_NC,Full,,Full,TRUE
HDAC3,-0.247143291470705,5.24228322395875,0.505040118153596,0.4879949314109,0.709171334783911,CD8_NC,Full,,Full,FALSE
FCHSD1,0.274098835866498,4.840690619802,0.640653093819716,0.435731181358074,0.672297905932859,CD8_NC,Full,,Full,FALSE
KIAA0141,0.456919682703908,5.4446106498421,2.43196347583783,0.139328356281458,0.375344274667556,CD8_NC,Full,,Full,FALSE
GNPDA1,-0.0276925239626715,4.77845651210635,0.00456075083126348,0.947029756639973,0.974829956425843,CD8_NC,Full,,Full,FALSE
NDFIP1,-0.0337430410160996,8.14455512521134,0.0205142705818724,0.887973570904673,0.948791739002342,CD8_NC,Full,,Full,FALSE
ARHGAP26,-0.857708079271256,4.9167152301642,2.68490146928735,0.121454053411293,0.348460584007789,CD8_NC,Full,,Full,FALSE
NR3C1,0.250214431310057,6.31864158633726,0.673198048208583,0.424510361057707,0.663601214837347,CD8_NC,Full,,Full,FALSE
YIPF5,0.00988282512918045,5.47634724379154,0.00126956125371551,0.972037746481353,0.986893068322246,CD8_NC,Full,,Full,FALSE
LARS,-0.164904831721394,6.51826779199182,0.364785605211877,0.554691368489878,0.7584733637625,CD8_NC,Full,,Full,FALSE
TCERG1,-0.01198386367786,6.10676830563288,0.0021116158172233,0.963941840681451,0.983404577369296,CD8_NC,Full,,Full,FALSE
FBXO38,-0.383797064759013,4.48787977671101,0.794956247645857,0.386170373419252,0.630699038157088,CD8_NC,Full,,Full,FALSE
GRPEL2,-0.00271886062428407,4.72270321999299,5.25423615795757e-05,0.994309884703533,0.996483918497981,CD8_NC,Full,,Full,FALSE
CSNK1A1,0.227968790383305,6.36759164336555,0.363467824057265,0.555398165648429,0.759103307553987,CD8_NC,Full,,Full,FALSE
HMGXB3,-0.499657473091168,4.82254028122918,1.58085240293872,0.227346904676545,0.483691930490692,CD8_NC,Full,,Full,FALSE
TCOF1,-0.0748879295139945,5.14851806206272,0.026343268526318,0.873190760436063,0.942358747009454,CD8_NC,Full,,Full,FALSE
CD74,0.625891434295576,9.86429832673048,3.98226575461826,0.0640439133952264,0.246089695962376,CD8_NC,Full,,Full,FALSE
RPS14,0.640261054625116,12.4712520514649,6.03565523515908,0.0263688535363553,0.151958374135164,CD8_NC,Full,,Full,TRUE
RBM22,0.139242971124782,5.85461871885173,0.25470529994956,0.620965955881386,0.798229365765557,CD8_NC,Full,,Full,FALSE
TNIP1,0.0723476355857541,5.99371812669731,0.054845245164314,0.817938195531977,0.910286056317845,CD8_NC,Full,,Full,FALSE
ANXA6,-0.435069052801209,7.79978585757144,2.81390700357572,0.113694319348824,0.337100903224421,CD8_NC,Full,,Full,FALSE
CCDC69,-0.253431215236581,6.37647181428958,0.802314462516615,0.384253667107993,0.62869856752473,CD8_NC,Full,,Full,FALSE
ATOX1,1.32271985427956,5.3288390276105,11.2355248761013,0.00426331938293597,0.063036222304839,CD8_NC,Full,,Full,TRUE
G3BP1,-0.633184254498261,7.35993206047768,7.64814394505888,0.014196790075325,0.10881628740181,CD8_NC,Full,,Full,TRUE
SAP30L,-0.138899184603863,4.75660952229942,0.107409402155936,0.747537362307484,0.87223760368202,CD8_NC,Full,,Full,FALSE
LARP1,-0.750164077086059,6.88964190928558,8.09155877331745,0.0120937209898208,0.102788619326729,CD8_NC,Full,,Full,TRUE
CNOT8,-0.716618859041768,6.26184815178597,7.57303856731735,0.0146180624133405,0.109738968545284,CD8_NC,Full,,Full,TRUE
MRPL22,-0.172126073505307,5.3812684486668,0.291724890684147,0.59690064659318,0.784899887128778,CD8_NC,Full,,Full,FALSE
MED7,-0.429370526626866,4.90661149407029,1.4713926122944,0.243440689247161,0.496869880056943,CD8_NC,Full,,Full,FALSE
ITK,0.272431416022797,7.14557518884672,1.49277080202154,0.240224283721714,0.493892698982619,CD8_NC,Full,,Full,FALSE
CYFIP2,-0.751296040125537,7.80116747078914,9.88236380558049,0.00654195626419774,0.0785028054125864,CD8_NC,Full,,Full,TRUE
ADAM19,0.270573525755024,3.76930172091419,0.10184333861076,0.753772423397663,0.875040690258744,CD8_NC,Full,,Full,FALSE
CLINT1,-0.0269825248746289,6.57276949503542,0.0130600671185596,0.910497957416774,0.958705208503318,CD8_NC,Full,,Full,FALSE
RNF145,0.188014519322957,5.81997958952598,0.48809775757281,0.495252025228167,0.71432507212613,CD8_NC,Full,,Full,FALSE
UBLCP1,0.10028047952206,6.10413854780432,0.139146312471004,0.714240498521624,0.858292374347052,CD8_NC,Full,,Full,FALSE
TTC1,0.247178579874923,6.3884895728012,0.809366906242064,0.382216716403578,0.626633711945709,CD8_NC,Full,,Full,FALSE
PWWP2A,-0.111768814995658,4.72170187831315,0.0810474177524851,0.779683728848703,0.88962135277776,CD8_NC,Full,,Full,FALSE
SLU7,0.359592610701302,6.48159478405753,2.10631904965707,0.16683596433872,0.411830646186071,CD8_NC,Full,,Full,FALSE
CCNG1,0.00971177063834147,6.13018001158513,0.00141167838283207,0.970513811557159,0.986352053243971,CD8_NC,Full,,Full,FALSE
NUDCD2,0.589744077266271,6.03304161360928,3.11199300572429,0.0976294112024596,0.310097932471309,CD8_NC,Full,,Full,FALSE
MAT2B,-0.110835118087377,7.15308869595926,0.242867835796513,0.629119842781129,0.803555340590466,CD8_NC,Full,,Full,FALSE
AC026403.1,-0.501899230214394,4.53879374950187,0.759510458846897,0.396694384482508,0.63879243794837,CD8_NC,Full,,Full,FALSE
