cell_type,pathway,pval,padj,log2err,ES,NES,size,leadingEdge,FDR_within_celltype,FDR_across_all_evaluable_tests,test_status,pathway_label
CD4_NC,HALLMARK_INFLAMMATORY_RESPONSE,1.41179334465876e-05,0.000141179334465876,0.593325476396405,0.458047264291947,1.83834262803245,123,RGS1|IL1B|MXD1|CDKN1A|C5AR1|OSM|NFKBIA|CXCL8|IFITM1|BEST1|HBEGF|CSF3R|PTAFR|CD69|CYBB|FFAR2|RIPK2|PLAUR|FPR1|ADM|BTG2|AQP9|SLC31A2|TIMP1|CD14|CCL5|SLC31A1|NAMPT|CD48|IFNGR2|LYN|SLC11A2|LY6E|IL15|CD82|NMI|IL18|DCBLD2,0.000141179334465876,0.000176474168082345,Evaluated,INFLAMMATORY RESPONSE
CD4_NC,HALLMARK_INTERFERON_ALPHA_RESPONSE,0.429951690821256,0.524331330269825,0.0982123351217438,-0.257052788248837,-1.01535117341141,89,OGFR|ADAR|IRF2|TMEM140|DDX60|UBA7|TRIM21|PARP14|TRAFD1|TRIM26|GBP2|TRIM25|TRIM14|TRIM5|HELZ2|PARP12,0.524331330269825,0.530804556569452,Evaluated,INTERFERON ALPHA RESPONSE
CD4_NC,HALLMARK_INTERFERON_GAMMA_RESPONSE,0.129659643435981,0.192747001713307,0.155241966228839,0.282335201667031,1.19483692310889,179,TNFAIP3|HLA-A|CDKN1A|MT2A|NFKBIA|PTGS2|CD69|IFI30|RIPK2|HLA-DMA|FPR1|CD86|IFITM3|ARL4A|PSMB2|HLA-B|XCL1|CCL5|B2M|PSME2|PSMB9|BANK1|IFI35|FCGR1A|UPP1|NAMPT|HLA-DQA1|SERPING1|PSMB8|VAMP5|TNFAIP2|SOD2|PSMA2|SOCS3|IFITM2|RBCK1|SECTM1|LY6E|IL15|CSF2RB|HLA-DRB1|NMI|PSMB10|SP110|CMTR1|ICAM1|IRF8|GZMA|VAMP8|SRI|CASP8|SLC25A28|UBE2L6|CASP4|CD74|SLAMF7,0.192747001713307,0.211399937362982,Evaluated,INTERFERON GAMMA RESPONSE
CD4_NC,HALLMARK_KRAS_SIGNALING_DN,0.195348837209302,0.25703794369645,0.151148761385484,-0.323598543076061,-1.17117329835519,55,KMT2D|CLSTN3|PDCD1|MFSD6|MAST3|IDUA|SLC5A5|PTPRJ,0.25703794369645,0.284487385936661,Evaluated,KRAS SIGNALING DN
CD4_NC,HALLMARK_KRAS_SIGNALING_UP,0.00243281432179872,0.010136726340828,0.431707695803346,0.384620615137092,1.52159339070823,114,TNFAIP3|DUSP6|IL1B|G0S2|FCER1G|CTSS|KLF4|HBEGF|PTGS2|CXCR4|PLAUR|GLRX|GADD45G|F13A1|BIRC3|TRIB1|LAT2|PPP1R15A|ID2|LY96|PSMB8|HDAC9|LAPTM5|MAFB|TSPAN13|ATG10|DCBLD2|RBM4|CD37|EVI5|TMEM176B,0.010136726340828,0.0121640716089936,Evaluated,KRAS SIGNALING UP
CD4_NC,HALLMARK_MITOTIC_SPINDLE,2.39057286964827e-10,3.98428811608045e-09,0.814035837847908,-0.5029673840471,-2.17397887197996,159,FLNA|MYH9|PXN|SPTAN1|PREX1|LRPPRC|SUN2|ARHGEF2|SPTBN1|ABR|MAP1S|SMC1A|MYO9B|CKAP5|LLGL1|FLNB|NUMA1|CEP250|GEMIN4|LMNB1|TAOK2|ARHGAP27|PLEKHG2|TIAM1|DOCK2|MID1IP1|NIN|EZR|ARFGEF1|ACTN4|CSNK1D|EPB41|AKAP13|VCL|NEDD9|ARHGEF11|PCNT|ABL1|ARHGAP5|TUBGCP2|NOTCH2|ARHGEF7|CLIP2|TUBGCP3|NET1|STAU1|PCM1|CEP72|KATNB1|RACGAP1|HDAC6|MAP3K11|CDK5RAP2|PKD2|BCL2L11|ARL8A|STK38L|PPP4R2|RAPGEF6|ARHGEF3|CEP131|BRCA2|LATS1|ALMS1|YWHAE,3.98428811608045e-09,4.78114573929654e-09,Evaluated,MITOTIC SPINDLE
CD4_NC,HALLMARK_MTORC1_SIGNALING,0.070840197693575,0.131185551284398,0.216542836735348,0.294160802664534,1.23832823001427,177,CDKN1A|NFIL3|SERP1|DDIT3|SDF2L1|SLC2A3|IFI30|CXCR4|FKBP2|DDX39A|SEC11A|HPRT1|GLRX|SRD5A1|GLA|BTG2|SORD|CTSC|CD9|PNO1|PPIA|UFM1|CACYBP|PPP1R15A|ATP5MC1|NAMPT|PGK1|MTHFD2L|IFRD1|SKAP2|UBE2D3|PSMD13|ENO1|GAPDH|HSP90B1|ETF1|LDHA|HSPA5|TPI1|EBP|STARD4|PSMA4|DDIT4|CFP|BHLHE40|MLLT11|PSMD14|PITPNB|INSIG1|EEF1E1|HMBS,0.131185551284398,0.133660750365236,Evaluated,MTORC1 SIGNALING
CD4_NC,HALLMARK_MYC_TARGETS_V1,0.00643810681667746,0.020826720503764,0.407017918923954,0.331906004544127,1.40977861201043,191,TRA2B|MRPL23|COX5A|PSMB3|SRSF7|SSBP1|C1QBP|HPRT1|DUT|SRSF3|SNRPA1|EIF4A1|CYC1|UBE2L3|PSMD8|PPIA|PSMB2|SNRPB2|MRPL9|RPL6|RPS3|CBX3|RPLP0|RPL22|VDAC3|LSM7|NHP2|TXNL4A|PHB2|PSMA2|SNRPD3|PGK1|SNRPD2|SNRPD1|VDAC1|NDUFAB1|RPS2|IFRD1|RPS6|PSMA1|PA2G4|SNRPG|STARD7|RACK1|RPL14|ACP1|ETF1|LDHA|KPNA2|LSM2|PSMA4|MAD2L1|SNRPA|ODC1|GLO1|NOP56|PRPF31|UBE2E1|SSB|RPL34|PSMD14,0.020826720503764,0.0222003683333706,Evaluated,MYC TARGETS V1
CD4_NC,HALLMARK_MYC_TARGETS_V2,0.465277777777778,0.553902116402116,0.0911073131586733,-0.27325133985988,-0.993637840183112,56,PPRC1|MYC|GRWD1|MYBBP1A|PPAN|HK2|FARSA,0.553902116402116,0.547735618115055,Evaluated,MYC TARGETS V2
CD4_NC,HALLMARK_MYOGENESIS,0.571428571428571,0.664451827242525,0.0642140881844605,0.246908141729088,0.945222682783015,89,CDKN1A|CD36|HBEGF|IGFBP7|PDLIM7|GADD45B|PLXNB2|PRNP|CKB|MYOM2|GABARAPL2|MEF2C|IFRD1|CFD|COL6A2|GSN|OCEL1|TPM2|BAG1|DMPK|BHLHE40|ADCY9,0.664451827242525,0.642054574638844,Evaluated,MYOGENESIS
