pathway,cell_type,median_LODO_NES,min_LODO_NES,max_LODO_NES,full_NES,full_FDR,direction_concordance,pathway_label
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,CD8_NC,1.68358931902201,1.194730593536,1.86162294747793,1.6657121380502,0.0243389546329513,1,Epithelial Mesenchymal Transition
HALLMARK_ESTROGEN_RESPONSE_EARLY,CD4_NC,-1.14947190223767,-1.33459858228711,1.0700282253506,-1.22300015452523,0.170177241202158,0.857142857142857,Estrogen Response Early
HALLMARK_ESTROGEN_RESPONSE_EARLY,CD8_NC,-1.26791442676145,-1.50724508151987,-1.16108519447936,-1.51146057989183,0.0427641025437532,1,Estrogen Response Early
HALLMARK_ESTROGEN_RESPONSE_LATE,CD4_NC,1.45631884607116,1.36534255540222,1.58326836808482,1.46780033494861,0.0312201852811586,1,Estrogen Response Late
HALLMARK_ESTROGEN_RESPONSE_LATE,CD8_NC,1.4131895875483,1.13726342782579,1.72692923110723,1.47218517255196,0.0820535600293174,1,Estrogen Response Late
HALLMARK_FATTY_ACID_METABOLISM,CD4_NC,1.27104192674885,1.21280334944239,1.47754174142118,1.32394839034722,0.0974220623501199,1,Fatty Acid Metabolism
HALLMARK_FATTY_ACID_METABOLISM,CD8_NC,1.28835211713876,1.19777808796021,1.49655964342922,1.4039479760076,0.0784927107592362,1,Fatty Acid Metabolism
HALLMARK_G2M_CHECKPOINT,CD4_NC,-1.56036503111215,-1.63779181163693,-1.38494197106881,-1.52858469683743,0.0118555723533845,1,G2m Checkpoint
HALLMARK_G2M_CHECKPOINT,CD8_NC,-1.43895688885463,-1.69250550985502,-1.32145441203659,-1.49556852229484,0.0200344228240769,1,G2m Checkpoint
HALLMARK_GLYCOLYSIS,CD4_NC,1.25593379214335,1.21171162474042,1.40137884526434,1.33277065511575,0.0577230353317201,1,Glycolysis
HALLMARK_GLYCOLYSIS,CD8_NC,1.56356978759883,1.44589658822258,1.64177195658623,1.67041859961581,0.0148554072816451,1,Glycolysis
HALLMARK_HEDGEHOG_SIGNALING,CD4_NC,-1.50174155246295,-1.81581566574954,-1.0146905017992,-1.39381778778874,0.138297872340426,1,Hedgehog Signaling
HALLMARK_HEME_METABOLISM,CD4_NC,-1.02972798323955,-1.19513486219742,-0.95611203874472,-1.06628696583159,0.392700392700393,1,Heme Metabolism
HALLMARK_HEME_METABOLISM,CD8_NC,-1.11154452353667,-1.42596276279742,-0.927533148977806,-1.21969802079339,0.181241101091599,1,Heme Metabolism
HALLMARK_HYPOXIA,CD4_NC,1.64194412227286,1.46392757387923,2.11740087048962,1.67427601819451,0.00203379943791972,1,Hypoxia
HALLMARK_HYPOXIA,CD8_NC,1.81593598566906,1.66851110960628,2.12293843880444,1.91075978306479,0.000589871312316826,1,Hypoxia
HALLMARK_IL2_STAT5_SIGNALING,CD4_NC,1.22596464027436,1.1542954712212,1.47397399921367,1.21648877678408,0.153881226490368,1,Il2 Stat5 Signaling
